"","year","month","president","mipall_count","midall_count","inflation","ch_inflation_lag_1mth","ch_inflation_lag_2mth","ch_inflation_lag_3mth","monthly_approval","election","pres_sec_term","unified","democrat","coldwar","party","fine_tune_temp0","fine_tune_lag_1mth","mipall_count_lag1","unemp","employment_lag_1mth","misery","misery_lag_1mth","post_9_11"
"12",1946,3,"Harry S. Truman",0,0,NA,NA,NA,NA,51,0,0,1,1,0,"Democrat",2,1.66666666666667,0,NA,NA,NA,NA,0
"13",1946,4,"Harry S. Truman",0,0,NA,NA,NA,NA,NA,0,0,1,1,0,"Democrat",2,2,0,NA,NA,NA,NA,0
"14",1946,5,"Harry S. Truman",0,0,NA,NA,NA,NA,NA,0,0,1,1,0,"Democrat",1,2,0,NA,NA,NA,NA,0
"15",1946,6,"Harry S. Truman",0,0,NA,NA,NA,NA,44,0,0,1,1,0,"Democrat",1,1,0,NA,NA,NA,NA,0
"16",1946,7,"Harry S. Truman",0,0,NA,NA,NA,NA,NA,0,0,1,1,0,"Democrat",1.5,1,0,NA,NA,NA,NA,0
"17",1946,8,"Harry S. Truman",2,1,NA,NA,NA,NA,NA,0,0,1,1,0,"Democrat",1,1.5,0,NA,NA,NA,NA,0
"18",1946,9,"Harry S. Truman",0,0,NA,NA,NA,NA,33,0,0,1,1,0,"Democrat",1.25,1,2,NA,NA,NA,NA,0
"19",1946,10,"Harry S. Truman",0,0,NA,NA,NA,NA,NA,0,0,1,1,0,"Democrat",2.14285714285714,1.25,0,NA,NA,NA,NA,0
"20",1946,11,"Harry S. Truman",0,0,NA,NA,NA,NA,34,0,0,1,1,0,"Democrat",1,2.14285714285714,0,NA,NA,NA,NA,0
"21",1946,12,"Harry S. Truman",0,0,NA,NA,NA,NA,35,0,0,1,1,0,"Democrat",1.66666666666667,1,0,NA,NA,NA,NA,0
"22",1947,1,"Harry S. Truman",0,0,NA,NA,NA,NA,48,0,0,0,1,0,"Democrat",1.8,1.66666666666667,0,NA,NA,NA,NA,0
"23",1947,2,"Harry S. Truman",0,0,0.699999988079071,NA,NA,NA,NA,0,0,0,1,0,"Democrat",1.125,1.8,0,NA,NA,NA,NA,0
"24",1947,3,"Harry S. Truman",1,0,1.79999995231628,0.699999988079071,NA,NA,61.5,0,0,0,1,1,"Democrat",4.25,1.125,0,NA,NA,NA,NA,0
"25",1947,4,"Harry S. Truman",0,0,0,1.79999995231628,0.699999988079071,NA,57,0,0,0,1,1,"Democrat",2,4.25,1,NA,NA,NA,NA,0
"26",1947,5,"Harry S. Truman",0,0,-0.200000002980232,0,1.79999995231628,0.699999988079071,65,0,0,0,1,1,"Democrat",1.2,2,0,NA,NA,NA,NA,0
"27",1947,6,"Harry S. Truman",0,0,0.600000023841858,-0.200000002980232,0,1.79999995231628,55,0,0,0,1,1,"Democrat",1.9,1.2,0,NA,NA,NA,NA,0
"28",1947,7,"Harry S. Truman",0,0,0.699999988079071,0.600000023841858,-0.200000002980232,0,61,0,0,0,1,1,"Democrat",1.25,1.9,0,NA,NA,NA,NA,0
"29",1947,8,"Harry S. Truman",0,0,0.800000011920929,0.699999988079071,0.600000023841858,-0.200000002980232,NA,0,0,0,1,1,"Democrat",1.2,1.25,0,NA,NA,NA,NA,0
"30",1947,9,"Harry S. Truman",0,0,2,0.800000011920929,0.699999988079071,0.600000023841858,55,0,0,0,1,1,"Democrat",2.5,1.2,0,NA,NA,NA,NA,0
"31",1947,10,"Harry S. Truman",0,0,0.300000011920929,2,0.800000011920929,0.699999988079071,NA,0,0,0,1,1,"Democrat",2,2.5,0,NA,NA,NA,NA,0
"32",1947,11,"Harry S. Truman",0,0,0.699999988079071,0.300000011920929,2,0.800000011920929,54,0,0,0,1,1,"Democrat",1.5,2,0,NA,NA,NA,NA,0
"33",1947,12,"Harry S. Truman",0,0,1.5,0.699999988079071,0.300000011920929,2,NA,0,0,0,1,1,"Democrat",1.2,1.5,0,NA,NA,NA,NA,0
"34",1948,1,"Harry S. Truman",0,0,1.20000004768372,1.5,0.699999988079071,0.300000011920929,53,1,0,0,1,1,"Democrat",1.83333333333333,1.2,0,3.40000009536743,NA,4.60000014305115,NA,0
"35",1948,2,"Harry S. Truman",1,0,0,1.20000004768372,1.5,0.699999988079071,NA,1,0,0,1,1,"Democrat",1,1.83333333333333,0,3.79999995231628,3.40000009536743,3.79999995231628,4.60000014305115,0
"36",1948,3,"Harry S. Truman",0,1,-0.699999988079071,0,1.20000004768372,1.5,NA,1,0,0,1,1,"Democrat",3,1,1,4,3.79999995231628,3.30000001192093,3.79999995231628,0
"37",1948,4,"Harry S. Truman",0,0,1.39999997615814,-0.699999988079071,0,1.20000004768372,36,1,0,0,1,1,"Democrat",1.75,3,0,3.90000009536743,4,5.30000007152557,3.30000001192093,0
"38",1948,5,"Harry S. Truman",0,0,0.800000011920929,1.39999997615814,-0.699999988079071,0,39,1,0,0,1,1,"Democrat",1.57142857142857,1.75,0,3.5,3.90000009536743,4.30000001192093,5.30000007152557,0
"39",1948,6,"Harry S. Truman",1,0,0.600000023841858,0.800000011920929,1.39999997615814,-0.699999988079071,40,1,0,0,1,1,"Democrat",1.61904761904762,1.57142857142857,0,3.59999990463257,3.5,4.19999992847443,4.30000001192093,0
"40",1948,7,"Harry S. Truman",1,0,1,0.600000023841858,0.800000011920929,1.39999997615814,NA,1,0,0,1,1,"Democrat",1.66666666666667,1.61904761904762,1,3.59999990463257,3.59999990463257,4.59999990463257,4.19999992847443,0
"41",1948,8,"Harry S. Truman",0,0,0.100000001490116,1,0.600000023841858,0.800000011920929,NA,1,0,0,1,1,"Democrat",1,1.66666666666667,1,3.90000009536743,3.59999990463257,4.00000009685755,4.59999990463257,0
"42",1948,9,"Harry S. Truman",0,0,-0.300000011920929,0.100000001490116,1,0.600000023841858,NA,1,0,0,1,1,"Democrat",1.42424242424242,1,0,3.79999995231628,3.90000009536743,3.49999994039536,4.00000009685755,0
"43",1948,10,"Harry S. Truman",0,0,-0.200000002980232,-0.300000011920929,0.100000001490116,1,NA,1,0,0,1,1,"Democrat",1.65116279069767,1.42424242424242,0,3.70000004768372,3.79999995231628,3.50000004470348,3.49999994039536,0
"44",1948,11,"Harry S. Truman",1,0,-0.600000023841858,-0.200000002980232,-0.300000011920929,0.100000001490116,NA,1,0,0,1,1,"Democrat",1.16666666666667,1.65116279069767,0,3.79999995231628,3.70000004768372,3.19999992847443,3.50000004470348,0
